MIN 49.533048 , 0.059378
49.493644 , 0.097575
49.493652 , 0.097751
49.493592 , 0.099443
49.493458 , 0.099443
49.494462 , 0.096924
49.48993 , 0.105132
49.489968 , 0.104229
49.489997 , 0.103911
49.490017 , 0.103453
49.490034 , 0.103027
49.490063 , 0.101732
49.489373 , 0.102989
49.489332 , 0.104223
49.489315 , 0.1051
49.489262 , 0.106016
49.489245 , 0.106913
49.488617 , 0.106868
49.488642 , 0.105978
49.488667 , 0.105043
49.488698 , 0.104159
49.488731 , 0.102957
49.488066 , 0.104095
49.48743 , 0.104101
49.487382 , 0.105875
49.487361 , 0.106765
49.487998 , 0.106822
49.488006 , 0.105951
49.486779 , 0.10674
49.486816 , 0.105817
49.486845 , 0.104577
49.486287 , 0.105824
49.486254 , 0.10667
49.490657 , 0.101765
49.486284 , 0.104663
49.491187 , 0.103984
49.493826 , 0.099478
49.493467 , 0.098831
49.49376 , 0.100967
49.493564 , 0.100916
49.493424 , 0.100837
49.493359 , 0.101993
49.493312 , 0.103682
49.493462 , 0.103711
49.49342 , 0.105371
49.493275 , 0.105371
49.493722 , 0.10294
49.493666 , 0.103723
49.493643 , 0.105426
49.493041 , 0.105355
49.493106 , 0.103673
49.493153 , 0.101948
49.493176 , 0.100812
49.493232 , 0.099456
49.493246 , 0.098838
49.493914 , 0.097539
49.493508 , 0.102925
49.492626 , 0.099435
49.492556 , 0.100758
49.492528 , 0.1019
49.492462 , 0.103611
49.49242 , 0.105285
49.491921 , 0.100736
49.491893 , 0.101872
49.491827 , 0.103582
49.491799 , 0.104948
49.494391 , 0.095649
49.49501 , 0.096487
49.495684 , 0.095843
49.49566 , 0.096682
49.495561 , 0.09777
49.495475 , 0.098741
49.495425 , 0.099671
49.495309 , 0.101107
49.495241 , 0.103063
49.495215 , 0.103835
49.495108 , 0.104588
49.495106 , 0.105258
49.495626 , 0.106496
49.494515 , 0.097566
49.494485 , 0.098567
49.494437 , 0.099534
49.494406 , 0.101045
49.494351 , 0.102981
49.494325 , 0.103774
49.494294 , 0.104553
49.494264 , 0.105439
49.495631 , 0.094133
49.495867 , 0.096745
49.496371 , 0.0997
49.4962 , 0.099909
49.497179 , 0.098248
49.497276 , 0.097866
49.497418 , 0.097366
49.497578 , 0.096927
49.497361 , 0.09412
49.498284 , 0.094288
49.498984 , 0.094603
49.499634 , 0.094848
49.498044 , 0.096023
49.497163 , 0.096667
49.497221 , 0.095995
49.497257 , 0.095393
49.497279 , 0.095137
49.495971 , 0.095068
49.495953 , 0.095269
49.495971 , 0.095829
49.497477 , 0.092891
49.499503 , 0.095008
49.498838 , 0.097416
49.498802 , 0.097776
49.498757 , 0.098288
49.498703 , 0.098849
49.49806 , 0.098101
49.498011 , 0.098641
49.498527 , 0.100795
49.497809 , 0.100617
49.496875 , 0.100504
49.498372 , 0.102377
49.497957 , 0.102442
49.49763 , 0.102458
49.497014 , 0.102523
49.495281 , 0.101873
49.495266 , 0.102653
49.495226 , 0.103433
49.496517 , 0.102007
49.496497 , 0.10275
49.496493 , 0.103598
49.496097 , 0.103567
49.49736 , 0.103543
49.497633 , 0.104152
49.498064 , 0.104012
49.498484 , 0.103976
49.498486 , 0.105775
49.497231 , 0.105502
49.496554 , 0.106539
49.496984 , 0.107691
49.498456 , 0.093123
49.498758 , 0.09206
49.499178 , 0.092228
49.49895 , 0.093387
49.499396 , 0.093538
49.499992 , 0.09396
49.499799 , 0.092521
49.501231 , 0.089713
49.499498 , 0.091394
49.499717 , 0.089801
49.500019 , 0.092135
49.500076 , 0.091447
49.500865 , 0.090089
49.500943 , 0.091024
49.500264 , 0.094834
49.500669 , 0.093563
49.501069 , 0.094874
49.501588 , 0.096097
49.502097 , 0.098407
49.502263 , 0.097176
49.501954 , 0.087586
49.502154 , 0.08923
49.502314 , 0.086469
49.502137 , 0.103472
49.502685 , 0.10494
49.503127 , 0.106053
49.503466 , 0.107154
49.503703 , 0.107977
49.503946 , 0.10875
49.504291 , 0.109958
49.504561 , 0.111027
49.504897 , 0.1123
49.505152 , 0.113419
49.505315 , 0.114116
49.505435 , 0.114633
49.505748 , 0.115945
49.505943 , 0.116783
49.506173 , 0.117633
49.50647 , 0.118798
49.506965 , 0.120878
49.50719 , 0.123064
49.507264 , 0.124371
49.507264 , 0.126248
49.507049 , 0.128475
49.507123 , 0.127397
49.507204 , 0.126684
49.507809 , 0.126869
49.507229 , 0.129804
49.507367 , 0.130615
49.507827 , 0.133273
49.507929 , 0.134144
49.500162 , 0.104215
49.499906 , 0.097267
49.501295 , 0.111722
49.501441 , 0.112701
49.501534 , 0.113182
49.502046 , 0.11713
49.502321 , 0.118175
49.503811 , 0.126336
49.504286 , 0.131214
49.504375 , 0.134687
49.504403 , 0.136177
49.504422 , 0.137002
49.499796 , 0.096544
49.499436 , 0.098245
49.499647 , 0.095297
49.499141 , 0.097507
49.499428 , 0.10668
49.498982 , 0.101705
49.503829 , 0.110218
49.504064 , 0.111294
49.503553 , 0.111566
49.50306 , 0.111855
49.502542 , 0.112118
49.502742 , 0.113131
49.503342 , 0.113186
49.503847 , 0.112869
49.504358 , 0.112561
49.503953 , 0.11333
49.504617 , 0.113747
49.504921 , 0.113995
49.504475 , 0.116766
49.504795 , 0.116773
49.505362 , 0.11675
49.504999 , 0.117999
49.505317 , 0.118167
49.505809 , 0.11832
49.506113 , 0.119147
49.50641 , 0.120575
49.505112 , 0.120139
49.50546 , 0.120828
49.505594 , 0.124627
49.505276 , 0.125486
49.506176 , 0.125532
49.506131 , 0.125042
49.506802 , 0.124659
49.506265 , 0.126941
49.506668 , 0.127615
49.506892 , 0.126068
49.504948 , 0.115806
49.505816 , 0.121653
49.505822 , 0.135674
49.506147 , 0.135718
49.506435 , 0.135724
49.507037 , 0.135971
49.507565 , 0.135539
49.507657 , 0.136735
49.508842 , 0.135253
49.508984 , 0.135366
49.508918 , 0.13591
49.508999 , 0.136163
49.508346 , 0.134632
49.503181 , 0.099776
49.50499 , 0.100452
49.505666 , 0.101054
49.504701 , 0.100893
49.504282 , 0.101397
49.503863 , 0.101938
49.503336 , 0.100997
49.503 , 0.100204
49.502574 , 0.103186
49.502378 , 0.103328
49.505612 , 0.102305
49.50575 , 0.101716
49.506665 , 0.101938
49.506201 , 0.100476
49.506501 , 0.101351
49.502363 , 0.101081
49.506798 , 0.102541
49.50706 , 0.103608
49.507119 , 0.103979
49.507305 , 0.104708
49.507453 , 0.105164
49.507766 , 0.106094
49.508345 , 0.107207
49.508793 , 0.107949
49.509009 , 0.10819
49.505618 , 0.103535
49.505643 , 0.103919
49.50566 , 0.104674
49.505723 , 0.105169
49.505832 , 0.105518
49.506003 , 0.105993
49.506163 , 0.1068
49.506235 , 0.107236
49.506396 , 0.108107
49.506527 , 0.108901
49.50654 , 0.110144
49.506494 , 0.110834
49.506456 , 0.111648
49.506422 , 0.112457
49.506346 , 0.112789
49.506248 , 0.11357
49.506192 , 0.114084
49.506891 , 0.106507
49.506968 , 0.107446
49.507065 , 0.108825
49.507161 , 0.110056
49.507242 , 0.111548
49.507901 , 0.107844
49.507747 , 0.108872
49.507573 , 0.109978
49.508082 , 0.103699
49.508143 , 0.102671
49.508182 , 0.10218
49.508217 , 0.101627
49.507106 , 0.100041
49.508005 , 0.100242
49.506469 , 0.09996
49.507655 , 0.111619
49.508302 , 0.11042
49.508798 , 0.108944
49.508469 , 0.100514
49.504092 , 0.103128
49.503271 , 0.103744
49.502899 , 0.104759
49.503477 , 0.104392
49.504169 , 0.103887
49.503811 , 0.105554
49.504353 , 0.105156
49.505466 , 0.105778
49.505579 , 0.106176
49.504152 , 0.106687
49.505673 , 0.106561
49.5044 , 0.107476
49.504631 , 0.108242
49.505568 , 0.107626
49.505896 , 0.107433
49.505492 , 0.108723
49.504885 , 0.109296
49.505803 , 0.108524
49.506098 , 0.108325
49.505653 , 0.109364
49.506096 , 0.109111
49.505882 , 0.110415
49.506358 , 0.110254
49.505135 , 0.110399
49.505526 , 0.112015
49.506179 , 0.111739
49.504821 , 0.106211
49.510112 , 0.102108
49.510601 , 0.102577
49.509825 , 0.103076
49.509696 , 0.103695
49.509035 , 0.103282
49.509557 , 0.104457
49.508887 , 0.104122
49.509141 , 0.106336
49.50854 , 0.106201
49.50903 , 0.106848
49.509645 , 0.106519
49.509483 , 0.107075
49.50964 , 0.108221
49.510784 , 0.107619
49.511313 , 0.107495
49.511972 , 0.107053
49.512638 , 0.104175
49.512298 , 0.104016
49.511884 , 0.103759
49.51166 , 0.103564
49.510884 , 0.102856
49.510528 , 0.104476
49.511586 , 0.105061
49.511367 , 0.106043
49.510217 , 0.105415
49.510504 , 0.108919
49.510947 , 0.109256
49.511378 , 0.10961
49.513582 , 0.104533
49.514122 , 0.104749
49.514663 , 0.104985
49.514843 , 0.105077
49.515384 , 0.105324
49.516868 , 0.106186
49.517188 , 0.106207
49.517982 , 0.105909
49.512631 , 0.107258
49.513111 , 0.107649
49.513605 , 0.10807
49.514202 , 0.106314
49.514916 , 0.106921
49.514289 , 0.108606
49.513268 , 0.111124
49.512714 , 0.110723
49.512207 , 0.110301
